id,SFR__Msol_per_yr,SFR_err,Mstar__Msol,Mstar_err,Lbolo__Lsol,Lbolo_err,Lold_unatt__Lsol,Lold_unatt_err,Lyoung_unatt__Lsol,Lyoung_unatt_err,Lold_abs__Lsol,Lold_abs_err,Lyoung_abs__Lsol,Lyoung_abs_err,Afuv,Afuv_err,Av_b90,Av_b90_err,Mdust__Msol,Mdust_err,Ldust__Lsol,Ldust_err,Umin,Umin_err,Tdust__K,Tdust_err,qhac,qhac_err,gamma,gamma_err,red_chi2,t
NGC4449,0.7695,0.03847,723500000,41410000,6572000000,328600000,3548000000,177400000,3024000000,151200000,557500000,0,1662000000,0,0.746,0.08,0.126,0.028,1585000,128200,2220000000,141800000,6.25,0.991,25.11,0.688,0.048,0.018,0.01,0.004,5.314,9.8
NGC4450,0.2335,0.0608,56860000000,6690000000,37730000000,1886000000,36810000000,1841000000,917800000,239000000,2717000000,0,538000000,0,0.813,0.203,0.156,0.019,8478000,932000,3255000000,212700000,1.946,0.201,20.53,0.367,0.02,0.001,0.001,0.001,3.035,2.4
NGC4451,0.6687,0.1091,5835000000,1307000000,12920000000,646100000,10290000000,514700000,2628000000,428900000,2672000000,0,2251000000,0,2.081,0.118,0.382,0.063,3798000,189900,4923000000,246200000,6.005,0.3,24.94,0.215,0.083,0.02,0.003,0.002,0.566,2.5
NGC4452,0.00309,0.001421,9169000000,918500000,5856000000,292800000,5844000000,292200000,12140000,5585000,24910000,0,785200,0,0.044,0.05,0.009,0.01,68430,162000,25700000,28660000,14.51,21.96,29.05,7.591,0.172,0.118,0.055,0.118,0.464,-1.9
NGC4454,0.237,0.08031,46770000000,5742000000,26360000000,1318000000,25420000000,1271000000,931400000,315600000,1630000000,0,538900000,0,0.759,0.218,0.132,0.033,7059000,12610000,2169000000,453000000,4.337,6.449,23.58,6.055,0.155,0.052,0.004,0.007,0.447,0.2
NGC4457,0.07232,0.04669,14960000000,2164000000,11270000000,563400000,10980000000,549200000,284200000,183500000,1557000000,0,220300000,0,1.32,0.336,0.287,0.046,1364000,321900,1778000000,256300000,6.184,2.518,25.07,1.763,0.107,0.03,0.007,0.006,0.38,0.3
NGC4458,0.002383,0.001015,7253000000,591200000,4662000000,233100000,4653000000,232600000,9367000,3991000,31470000,0,876100,0,0.067,0.058,0.014,0.011,734100,765000,32340000,25790000,4.564,13.87,23.79,12.48,0.071,0.099,0.028,0.086,2.323,-4.9
NGC4459,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,-1.6
NGC4460,0.07496,0.03373,1718000000,385800000,3142000000,157100000,2848000000,143700000,294600000,132600000,583200000,0,230900000,0,1.416,0.204,0.319,0.063,601500,103600,814000000,47760000,5.885,1.22,24.85,0.89,0.059,0.004,0.013,0.004,0.757,-0.9
NGC4461,0.00223,0.001615,16220000000,2454000000,7535000000,376700000,7526000000,376300000,8763000,6348000,31400000,0,658800,0,0.044,0.029,0.009,0.006,326700,480500,32060000,19300000,8.003,17.59,26.21,9.951,0.224,0.116,0.038,0.095,0.498,-0.7
